,date,sym,volume,volume_prev_5d_avg
3434,2019-01-03,000001.SZ,41553795.0,53938631.99999999
6869,2019-01-04,000001.SZ,148115906.0,47746213.5
10304,2019-01-07,000001.SZ,86568766.0,81202777.66666667
13739,2019-01-08,000001.SZ,40238811.0,82544274.75
17176,2019-01-09,000001.SZ,123348636.0,74083182.0
20613,2019-01-10,000001.SZ,107181766.0,87965182.8
24050,2019-01-11,000001.SZ,69636455.0,101090777.0
27488,2019-01-14,000001.SZ,50044359.0,85394886.8
30926,2019-01-15,000001.SZ,54216055.00000001,78090005.4
34364,2019-01-16,000001.SZ,97769937.0,80885454.2
37804,2019-01-17,000001.SZ,88281192.0,75769714.4
41246,2019-01-18,000001.SZ,73879326.0,71989599.6
44689,2019-01-21,000001.SZ,65935576.0,72838173.8
48133,2019-01-22,000001.SZ,42441357.0,76016417.2
51578,2019-01-23,000001.SZ,53787663.0,73661477.6
55024,2019-01-24,000001.SZ,67924088.0,64865022.8
58470,2019-01-25,000001.SZ,210836185.0,60793602.0
61917,2019-01-28,000001.SZ,103590980.0,88184973.8
65365,2019-01-29,000001.SZ,82663110.0,95716054.6
68814,2019-01-30,000001.SZ,71200101.0,103760405.2
72264,2019-01-31,000001.SZ,83162275.0,107242892.8
75714,2019-02-01,000001.SZ,101427007.0,110290530.2
79165,2019-02-11,000001.SZ,80193663.0,88408694.6
82616,2019-02-12,000001.SZ,95993690.0,83729231.2
86067,2019-02-13,000001.SZ,113736574.0,86395347.2
89518,2019-02-14,000001.SZ,86918519.0,94902641.8
92969,2019-02-15,000001.SZ,110012746.0,95653890.6
96421,2019-02-18,000001.SZ,125552221.0,97371038.4
99874,2019-02-19,000001.SZ,127088204.0,106442750.0
103327,2019-02-20,000001.SZ,83262987.0,112661652.8
106780,2019-02-21,000001.SZ,75424648.0,106566935.4
110233,2019-02-22,000001.SZ,118404779.0,104268161.2
113688,2019-02-25,000001.SZ,282493502.0,105946567.8
117143,2019-02-26,000001.SZ,201754493.0,137334824.0
120599,2019-02-27,000001.SZ,197901388.0,152268081.8
124055,2019-02-28,000001.SZ,111309980.0,175195762.0
127511,2019-03-01,000001.SZ,171267916.0,182372828.4
130968,2019-03-04,000001.SZ,245683039.0,192945455.8
134425,2019-03-05,000001.SZ,140842222.0,185583363.2
137882,2019-03-06,000001.SZ,124576020.0,173400909.0
141339,2019-03-07,000001.SZ,178205731.0,158735835.4
144796,2019-03-08,000001.SZ,177816210.0,172114985.6
148253,2019-03-11,000001.SZ,115765077.0,173424644.4
151711,2019-03-12,000001.SZ,141179492.0,147441052.0
155169,2019-03-13,000001.SZ,126942716.0,147508506.0
158627,2019-03-14,000001.SZ,105746790.0,147981845.2
162086,2019-03-15,000001.SZ,104540603.0,133490057.0
165546,2019-03-18,000001.SZ,148645480.0,118834935.6
169006,2019-03-19,000001.SZ,95719646.0,125411016.2
172467,2019-03-20,000001.SZ,92999638.0,116319047.0
175928,2019-03-21,000001.SZ,86014080.0,109530431.4
179389,2019-03-22,000001.SZ,71350206.0,105583889.4
182851,2019-03-25,000001.SZ,117988326.0,98945810.0
186314,2019-03-26,000001.SZ,93539327.0,92814379.2
189779,2019-03-27,000001.SZ,92282680.0,92378315.4
193244,2019-03-28,000001.SZ,73246744.0,92234923.8
196710,2019-03-29,000001.SZ,166950647.0,89681456.6
200177,2019-04-01,000001.SZ,195140119.0,108801544.8
203644,2019-04-02,000001.SZ,110038404.0,124231903.4
207112,2019-04-03,000001.SZ,79291579.0,127531718.8
210580,2019-04-04,000001.SZ,203436500.0,124933498.6
214048,2019-04-08,000001.SZ,174317620.0,150971449.8
217516,2019-04-09,000001.SZ,78133238.0,152444844.4
220984,2019-04-10,000001.SZ,94713506.0,129043468.2
224452,2019-04-11,000001.SZ,65535662.0,125978488.6
227920,2019-04-12,000001.SZ,77432464.0,123227305.2
231389,2019-04-15,000001.SZ,153389068.0,98026498.0
234860,2019-04-16,000001.SZ,237937518.00000003,93840787.6
238332,2019-04-17,000001.SZ,100410987.0,125801643.6
241804,2019-04-18,000001.SZ,50704530.0,126941139.8
245276,2019-04-19,000001.SZ,124603609.0,123974913.4
248749,2019-04-22,000001.SZ,132227390.0,133409142.4
252223,2019-04-23,000001.SZ,94068734.0,129176806.8
255697,2019-04-24,000001.SZ,194972363.0,100403050.0
259171,2019-04-25,000001.SZ,111147637.0,119315325.2
262646,2019-04-26,000001.SZ,100942124.0,131403946.6
