episode,timestep,reward
32,800,24.9062
62,1600,26.3
90,2400,28.3571
123,3200,24.3333
144,4000,38.4286
160,4800,46.75
176,5600,53.0625
187,6400,66.1818
194,7200,107.8571
202,8000,110.5
210,8800,105.375
216,9600,126.3333
220,10400,187.0
224,11200,212.0
230,12000,140.6667
235,12800,148.2
238,13600,255.0
242,14400,207.25
245,15200,211.6667
248,16000,311.0
253,16800,178.6
258,17600,153.0
262,18400,201.5
267,19200,166.0
270,20000,200.0
274,20800,246.0
278,21600,197.25
282,22400,193.75
284,23200,294.0
287,24000,312.6667
290,24800,220.3333
293,25600,293.3333
296,26400,309.0
301,27200,135.0
305,28000,219.0
307,28800,264.5
310,29600,359.3333
314,30400,209.0
316,31200,297.5
318,32000,376.5
321,32800,328.6667
324,33600,258.6667
326,34400,400.0
328,35200,400.0
331,36000,307.6667
335,36800,191.0
337,37600,273.0
340,38400,372.6667
342,39200,267.0
346,40000,243.25
348,40800,400.0
350,41600,400.0
352,42400,297.0
354,43200,400.0
357,44000,369.0
359,44800,371.0
362,45600,241.3333
365,46400,286.6667
367,47200,263.5
370,48000,279.3333
373,48800,313.6667
376,49600,217.0
380,50400,273.75
383,51200,246.6667
385,52000,354.5
387,52800,380.0
389,53600,382.5
391,54400,400.0
394,55200,348.3333
397,56000,257.0
399,56800,346.0
401,57600,317.0
403,58400,400.0
405,59200,400.0
408,60000,316.0
411,60800,264.6667
414,61600,218.3333
417,62400,355.0
419,63200,332.5
421,64000,362.5
424,64800,246.3333
427,65600,328.6667
429,66400,400.0
431,67200,319.0
433,68000,400.0
435,68800,400.0
439,69600,230.75
441,70400,393.5
444,71200,311.3333
447,72000,222.6667
450,72800,326.3333
452,73600,365.0
454,74400,339.0
456,75200,400.0
458,76000,400.0
460,76800,371.5
462,77600,377.0
465,78400,338.3333
467,79200,292.5
469,80000,400.0
471,80800,400.0
474,81600,356.0
476,82400,318.0
478,83200,387.0
480,84000,383.5
482,84800,377.5
485,85600,339.3333
487,86400,244.5
489,87200,400.0
491,88000,400.0
493,88800,400.0
495,89600,400.0
497,90400,400.0
499,91200,400.0
502,92000,353.3333
504,92800,362.0
506,93600,400.0
508,94400,400.0
511,95200,263.3333
515,96000,253.25
517,96800,349.0
519,97600,319.0
522,98400,313.3333
524,99200,353.5
526,100000,372.0
