time,exchange,ask1,bid1,deltapos,price,volume,direction,ordlocalid
93103000,0,52800,52700,0,52700,344,1,-1
93203000,0,52700,52600,344,52600,344,1,-2
93303000,0,52700,52600,688,52600,344,1,-3
93403000,0,52500,52400,1032,52400,344,1,-4
93503000,0,52400,52300,1376,52300,344,1,-5
93603000,0,52500,52400,1376,52400,344,1,-7
93703000,0,52500,52400,1720,52400,344,1,-9
93803000,0,52500,52400,2064,52400,344,1,-11
93903000,0,52400,52200,2408,52200,344,1,-13
94003000,0,52400,52300,2408,52300,344,1,-15
94103000,0,52400,52300,2752,52300,344,1,-17
94203000,0,52400,52300,3096,52300,344,1,-19
94303000,0,52500,52400,3096,52400,344,1,-21
94403000,0,52700,52600,3096,52600,344,1,-23
94503000,0,52700,52600,3440,52600,344,1,-25
94603000,0,52900,52800,3784,52800,344,1,-27
94703000,0,52800,52700,4128,52700,344,1,-29
94803000,0,52800,52700,4128,52700,344,1,-31
94921000,0,52600,52500,4472,52500,344,1,-33
95003000,0,52800,52700,4472,52700,344,1,-35
95103000,0,52800,52700,4816,52700,344,1,-37
95203000,0,52800,52700,4816,52700,344,1,-39
95303000,0,52700,52600,5160,52600,344,1,-41
95448000,0,52700,52600,5160,52600,344,1,-43
95503000,0,52700,52600,5160,52600,344,1,-45
95603000,0,52800,52600,5160,52600,344,1,-47
95739000,0,52800,52700,5160,52700,344,1,-49
95803000,0,52700,52600,5160,52600,344,1,-51
95927000,0,52600,52500,5504,52500,344,1,-53
