localid,direction,volume,price,matchamount,deltapos,matchtime,matchtype
-1,B,344,52700,18128800,344,93103220,T
-2,B,344,52600,18094400,688,93228050,T
-3,B,344,52600,18094400,1032,93303340,T
-4,B,344,52400,18025600,1376,93412160,T
-5,B,344,0,0,1376,93600090,D
-7,B,344,52400,18025600,1720,93628110,T
-9,B,344,52400,18025600,2064,93706510,T
-11,B,344,52400,18025600,2408,93809140,T
-13,B,344,0,0,2408,94000090,D
-15,B,344,52300,17991200,2752,94049910,T
-17,B,344,52300,17991200,3096,94135710,T
-19,B,344,0,0,3096,94259550,D
-21,B,344,0,0,3096,94359510,D
-23,B,344,52600,18094400,3440,94407360,T
-25,B,344,52600,18094400,3784,94532940,T
-27,B,344,52800,18163200,4128,94603300,T
-29,B,344,0,0,4128,94802760,D
-31,B,344,52700,18128800,4472,94806270,T
-33,B,344,0,0,4472,95000090,D
-35,B,344,52700,18128800,4816,95029270,T
-37,B,344,0,0,4816,95200020,D
-39,B,344,52700,18128800,5160,95243710,T
-41,B,344,0,0,5160,95400090,D
-43,B,344,0,0,5160,95500090,D
-45,B,344,0,0,5160,95600090,D
-47,B,344,0,0,5160,95700090,D
-49,B,344,0,0,5160,95758740,D
-51,B,344,52600,18094400,5504,95852310,T
-53,B,344,0,0,5504,100003090,D
