time,exchange,ask1,bid1,deltapos,price,volume,direction,ordlocalid
93003000,0,260000,259700,0,259700,666,1,-1
93803000,0,261500,261300,666,261300,666,1,-2
94603000,0,262300,262200,1332,262200,666,1,-3
95403000,0,262000,261900,1998,261900,666,1,-4
100203000,0,262300,262100,2664,262100,666,1,-5
101003000,0,262700,262600,3330,262600,666,1,-6
101503000,0,263100,263000,3330,263100,666,1,-8
101803000,0,262600,262500,3996,262500,666,1,-9
102603000,0,263000,262900,4662,262900,666,1,-10
103403000,0,263000,262900,5328,262900,666,1,-11
104203000,0,264000,263900,5994,263900,666,1,-12
105003000,0,263900,263800,6660,263800,666,1,-13
105803000,0,264000,263900,7326,263900,666,1,-14
110606000,0,263900,263800,7992,263800,666,1,-15
111403000,0,263900,263800,8658,263800,666,1,-16
112203000,0,264100,264000,9324,264000,666,1,-17
