localid,direction,volume,price,matchamount,deltapos,matchtime,matchtype
-1,B,666,259700,172960200,666,93005860,T
-2,B,666,261300,174025800,1332,93804190,T
-3,B,666,262200,174625200,1998,94614430,T
-4,B,666,261900,174425400,2664,95404420,T
-5,B,666,262100,174558600,3330,100210770,T
-6,B,666,0,0,3330,101503450,D
-8,B,666,263100,175224600,3996,101503470,T
-9,B,666,262500,174825000,4662,101815170,T
-10,B,666,262900,175091400,5328,102603090,T
-11,B,666,262900,175091400,5994,103602540,T
-12,B,666,263900,175757400,6660,104305220,T
-13,B,666,263800,175690800,7326,105022230,T
-14,B,666,263900,175757400,7992,105814470,T
-15,B,666,263800,175690800,8658,110617950,T
-16,B,666,263800,175690800,9324,111428200,T
-17,B,666,264000,175824000,9990,112209340,T
