time,exchange,ask1,bid1,deltapos,price,volume,direction,ordlocalid
93003000,0,260000,259700,0,260100,6666,1,-1
93003000,0,260000,259700,0,260100,6666,1,-3
93003000,0,260000,259700,0,260000,6666,1,-5
93103000,0,260000,259900,19998,259800,6666,1,-6
93203000,0,260800,260600,26664,260000,6666,1,-7
93303000,0,261000,260900,26664,260800,6666,1,-8
93303000,0,261000,260900,26664,261000,6666,1,-10
93403000,0,260300,260100,39996,260500,6666,1,-11
93503000,0,260800,260500,46662,260300,6666,1,-12
93603000,0,260800,260300,46662,260800,6666,1,-13
93603000,0,260800,260300,46662,260800,6666,1,-15
93603000,0,260800,260300,46662,260800,6666,1,-17
93703000,0,261300,261000,73326,261100,6666,1,-18
93703000,0,261300,261000,73326,261300,6666,1,-20
93803000,0,261500,261300,79992,261300,6666,1,-21
93803000,0,261500,261300,79992,261500,6666,1,-23
93903000,0,261300,261200,86658,261300,6666,1,-24
93903000,0,261300,261200,86658,261300,6666,1,-26
94003000,0,261300,261200,99990,261400,6666,1,-27
94003000,0,261300,261200,99990,261400,6666,1,-29
94003000,0,261300,261200,99990,261300,6666,1,-31
94103000,0,261800,261500,119988,261200,6666,1,-32
94103000,0,261800,261500,119988,261800,6666,1,-34
94203000,0,261900,261700,126654,261500,6666,1,-35
94203000,0,261900,261700,126654,261900,6666,1,-37
94303000,0,262000,261700,133320,261600,6666,1,-38
94303000,0,262000,261700,133320,262000,6666,1,-40
94403000,0,262100,262000,139986,261800,6666,1,-41
94403000,0,262100,262000,139986,262100,6666,1,-43
