localid,direction,volume,price,matchamount,deltapos,matchtime,matchtype
-1,B,6666,260000,1733160000,6666,93003090,T
-3,B,6666,260000,1733160000,13332,93003180,T
-5,B,6666,260000,1733160000,19998,93003180,T
-6,B,6666,259800,1731826800,26664,93103410,T
-8,B,6666,0,0,26664,93303170,D
-10,B,6666,261000,1739826000,33330,93303170,T
-7,B,6666,260000,1733160000,39996,93321660,T
-11,B,6666,260300,1735159800,46662,93403090,T
-13,B,6666,260800,1738492800,53328,93603090,T
-15,B,6666,260800,1738492800,59994,93603110,T
-17,B,6666,260800,1738492800,66660,93603140,T
-12,B,6666,260300,1735159800,73326,93606470,T
-18,B,6666,0,0,73326,93703180,D
-20,B,6666,261300,1741825800,79992,93703180,T
-21,B,6666,0,0,79992,93803180,D
-23,B,6666,261500,1743159000,86658,93803250,T
-24,B,6666,261300,1741825800,93324,93903090,T
-26,B,6666,261300,1741825800,99990,93903180,T
-27,B,6666,261300,1741825800,106656,94003090,T
-29,B,6666,261300,1741825800,113322,94003180,T
-31,B,6666,261300,1741825800,119988,94003270,T
-32,B,6666,0,0,119988,94103140,D
-34,B,6666,261800,1745158800,126654,94103140,T
-35,B,6666,0,0,126654,94203180,D
-37,B,6666,261900,1745825400,133320,94203180,T
-38,B,6666,0,0,133320,94303180,D
-40,B,6666,262000,1746492000,139986,94303180,T
-41,B,6666,0,0,139986,94403090,D
-43,B,6666,262100,1747158600,146652,94403130,T
