time,exchange,ask1,bid1,deltapos,price,volume,direction,ordlocalid
93057000,0,105900,105800,0,106400,526,2,-1
93103000,0,106300,106200,-526,106700,526,2,-3
93206000,0,105900,105800,-1052,106100,526,2,-4
93306000,0,105900,105800,-1578,106000,526,2,-5
93409000,0,105700,105600,-2104,105400,526,2,-6
93551000,0,105900,105700,-2630,105800,526,2,-7
93612000,0,106000,105900,-3156,105500,526,2,-8
93712000,0,106000,105900,-3682,105800,526,2,-9
93815000,0,106000,105800,-4208,105800,526,2,-10
93933000,0,106200,106000,-4734,105900,526,2,-11
94018000,0,106100,106000,-5260,106300,526,2,-12
94118000,0,106200,106100,-5786,106100,526,2,-13
94318000,0,106200,106100,-6312,106000,526,2,-14
94321000,0,106200,106000,-6838,106400,526,2,-16
94424000,0,106500,106400,-7364,107000,526,2,-17
94524000,0,106400,106300,-7890,106900,526,2,-18
94627000,0,106500,106400,-8416,106900,526,2,-19
