localid,direction,volume,price,matchamount,deltapos,matchtime,matchtype
-1,S,526,345500,181733000,-526,93100090,T
-3,S,526,345300,181627800,-1052,93103090,T
-4,S,526,347300,182679800,-1578,93206090,T
-5,S,526,347800,182942800,-2104,93306090,T
-6,S,526,345600,181785600,-2630,93409090,T
-7,S,526,347200,182627200,-3156,93509090,T
-8,S,526,347200,182627200,-3682,93612090,T
-9,S,526,346200,182101200,-4208,93712090,T
-10,S,526,346700,182364200,-4734,93815090,T
-11,S,526,346200,182101200,-5260,93915090,T
-12,S,526,346500,182259000,-5786,94018090,T
-13,S,526,346500,182259000,-6312,94118090,T
-14,S,526,346100,182048600,-6838,94221090,T
-15,S,526,346300,182153800,-7364,94321090,T
-16,S,526,347900,182995400,-7890,94424090,T
-17,S,526,348800,183468800,-8416,94557090,T
-18,S,526,348700,183416200,-8942,94627090,T
-19,S,526,347600,182837600,-9468,94727090,T
-20,S,526,347800,182942800,-9994,94927090,T
