time,exchange,ask1,bid1,deltapos,price,volume,direction,ordlocalid
93058000,0,63500,63400,0,63900,526,2,-1
93104000,0,63300,63200,-526,63400,526,2,-3
93204000,0,63300,63200,-1052,62800,526,2,-4
93307000,0,63600,63500,-1578,63300,526,2,-5
93407000,0,63800,63700,-2104,63600,526,2,-6
93510000,0,63900,63800,-2630,63600,526,2,-7
93610000,0,64100,64000,-3156,64400,526,2,-8
93713000,0,64200,64100,-3682,64700,526,2,-9
93813000,0,64200,64100,-4208,64100,526,2,-10
93916000,0,64100,64000,-4734,63800,526,2,-11
94016000,0,64200,64100,-5260,64100,526,2,-12
94119000,0,64500,64400,-5786,64500,526,2,-13
94219000,0,64400,64300,-6312,64500,526,2,-14
94322000,0,64700,64600,-6838,65000,526,2,-15
94425000,0,64600,64500,-7364,64300,526,2,-16
94525000,0,64500,64400,-7890,65000,526,2,-17
94628000,0,64300,64200,-8416,64300,526,2,-18
94728000,0,64300,64200,-8942,64600,526,2,-19
94831000,0,64200,64100,-9468,64200,526,2,-20
