localid,direction,volume,price,matchamount,deltapos,matchtime,matchtype
-1,S,526,63300,33295800,-526,93058090,T
-3,S,526,63200,33243200,-1052,93104090,T
-4,S,526,63200,33243200,-1578,93204090,T
-5,S,526,63500,33401000,-2104,93307090,T
-6,S,526,63700,33506200,-2630,93407090,T
-7,S,526,63800,33558800,-3156,93510090,T
-8,S,526,63900,33611400,-3682,93610090,T
-9,S,526,64100,33716600,-4208,93713090,T
-10,S,526,64100,33716600,-4734,93813090,T
-11,S,526,64000,33664000,-5260,93916090,T
-12,S,526,64200,33769200,-5786,94016090,T
-13,S,526,64500,33927000,-6312,94119090,T
-14,S,526,64300,33821800,-6838,94219090,T
-15,S,526,64600,33979600,-7364,94322090,T
-16,S,526,64500,33927000,-7890,94425090,T
-17,S,526,64400,33874400,-8416,94525090,T
-18,S,526,64200,33769200,-8942,94628090,T
-19,S,526,64200,33769200,-9468,94728090,T
-20,S,526,64100,33716600,-9994,94831090,T
