date,sym,side,start-time,end-time,volume
2023/8/29,000030.SZ,SELL,z 09:30:00,z 09:39:30,184100
2023/8/29,000423.SZ,BUY,z 09:30:00,z 09:40:00,9100
2023/8/29,000537.SZ,BUY,z 09:30:00,z 09:40:00,25800
2023/8/29,000538.SZ,SELL,z 09:30:00,z 09:39:30,31700
2023/8/29,000612.SZ,BUY,z 09:30:00,z 09:40:00,86100
2023/8/29,000623.SZ,SELL,z 09:30:00,z 09:39:30,7900
2023/8/29,000686.SZ,SELL,z 09:30:00,z 09:39:30,177200
2023/8/29,000718.SZ,SELL,z 09:30:00,z 09:39:30,172700
2023/8/29,000729.SZ,BUY,z 09:30:00,z 09:40:00,221800
2023/8/29,000776.SZ,SELL,z 09:30:00,z 09:39:30,800
2023/8/29,000791.SZ,SELL,z 09:30:00,z 09:39:30,72500
2023/8/29,000852.SZ,BUY,z 09:30:00,z 09:40:00,74900
2023/8/29,000858.SZ,SELL,z 09:30:00,z 09:39:30,10000
2023/8/29,000885.SZ,SELL,z 09:30:00,z 09:39:30,17600
2023/8/29,000888.SZ,SELL,z 09:30:00,z 09:39:30,31800
2023/8/29,000908.SZ,SELL,z 09:30:00,z 09:39:30,142300
2023/8/29,000921.SZ,SELL,z 09:30:00,z 09:39:30,5700
2023/8/29,000959.SZ,SELL,z 09:30:00,z 09:39:30,13000
2023/8/29,000962.SZ,BUY,z 09:30:00,z 09:40:00,31900
2023/8/29,001238.SZ,BUY,z 09:30:00,z 09:40:00,7900
2023/8/29,001282.SZ,BUY,z 09:30:00,z 09:40:00,2000
2023/8/29,001298.SZ,BUY,z 09:30:00,z 09:40:00,10300
2023/8/29,001314.SZ,SELL,z 09:30:00,z 09:39:30,1400
2023/8/29,002007.SZ,SELL,z 09:30:00,z 09:39:30,41500
2023/8/29,002025.SZ,SELL,z 09:30:00,z 09:39:30,12000
2023/8/29,002053.SZ,BUY,z 09:30:00,z 09:40:00,72200
2023/8/29,002062.SZ,SELL,z 09:30:00,z 09:39:30,106100
2023/8/29,002108.SZ,BUY,z 09:30:00,z 09:40:00,10800
2023/8/29,002123.SZ,SELL,z 09:30:00,z 09:39:30,53400
2023/8/29,002128.SZ,BUY,z 09:30:00,z 09:40:00,106300
2023/8/29,002142.SZ,SELL,z 09:30:00,z 09:39:30,14100
2023/8/29,002178.SZ,SELL,z 09:30:00,z 09:39:30,28600
2023/8/29,002179.SZ,SELL,z 09:30:00,z 09:39:30,34600
2023/8/29,002203.SZ,BUY,z 09:30:00,z 09:40:00,39800
2023/8/29,002212.SZ,BUY,z 09:30:00,z 09:40:00,82100
2023/8/29,002223.SZ,BUY,z 09:30:00,z 09:40:00,10200
2023/8/29,002283.SZ,BUY,z 09:30:00,z 09:40:00,13900
2023/8/29,002311.SZ,BUY,z 09:30:00,z 09:40:00,17700
2023/8/29,002351.SZ,BUY,z 09:30:00,z 09:40:00,14300
2023/8/29,002377.SZ,SELL,z 09:30:00,z 09:39:30,129600
2023/8/29,002384.SZ,BUY,z 09:30:00,z 09:40:00,2300
2023/8/29,002402.SZ,BUY,z 09:30:00,z 09:40:00,6500
2023/8/29,002419.SZ,BUY,z 09:30:00,z 09:40:00,105200
2023/8/29,002458.SZ,SELL,z 09:30:00,z 09:39:30,23800
2023/8/29,002465.SZ,BUY,z 09:30:00,z 09:40:00,256800
2023/8/29,002466.SZ,BUY,z 09:30:00,z 09:40:00,300
2023/8/29,002521.SZ,BUY,z 09:30:00,z 09:40:00,22100
2023/8/29,002531.SZ,SELL,z 09:30:00,z 09:39:30,4600
2023/8/29,002568.SZ,BUY,z 09:30:00,z 09:40:00,25300
2023/8/29,002635.SZ,SELL,z 09:30:00,z 09:39:30,33200
2023/8/29,002664.SZ,BUY,z 09:30:00,z 09:40:00,10900
2023/8/29,002683.SZ,BUY,z 09:30:00,z 09:40:00,57500
2023/8/29,002815.SZ,SELL,z 09:30:00,z 09:49:30,162900
2023/8/29,002861.SZ,BUY,z 09:30:00,z 09:40:00,39500
2023/8/29,002893.SZ,BUY,z 09:30:00,z 09:40:00,12300
2023/8/29,002918.SZ,SELL,z 09:30:00,z 09:39:30,13500
2023/8/29,002969.SZ,SELL,z 09:30:00,z 09:39:30,157300
2023/8/29,002988.SZ,BUY,z 09:30:00,z 09:50:00,75900
2023/8/29,002996.SZ,SELL,z 09:30:00,z 09:39:30,900
2023/8/29,003012.SZ,BUY,z 09:30:00,z 09:40:00,67700
2023/8/29,300041.SZ,SELL,z 09:30:00,z 09:39:30,68500
2023/8/29,300058.SZ,SELL,z 09:30:00,z 09:39:30,33200
2023/8/29,300088.SZ,BUY,z 09:30:00,z 09:40:00,176700
2023/8/29,300129.SZ,SELL,z 09:30:00,z 09:39:30,40200
2023/8/29,300130.SZ,SELL,z 09:30:00,z 09:39:30,10400
