,date,sym,side,start-time,end-time,volume
0,2023/8/29,000030.SZ,SELL,z 09:30:00,z 09:39:30,184100
3,2023/8/29,000538.SZ,SELL,z 09:30:00,z 09:39:30,31700
5,2023/8/29,000623.SZ,SELL,z 09:30:00,z 09:39:30,7900
6,2023/8/29,000686.SZ,SELL,z 09:30:00,z 09:39:30,177200
7,2023/8/29,000718.SZ,SELL,z 09:30:00,z 09:39:30,172700
9,2023/8/29,000776.SZ,SELL,z 09:30:00,z 09:39:30,800
10,2023/8/29,000791.SZ,SELL,z 09:30:00,z 09:39:30,72500
12,2023/8/29,000858.SZ,SELL,z 09:30:00,z 09:39:30,10000
13,2023/8/29,000885.SZ,SELL,z 09:30:00,z 09:39:30,17600
14,2023/8/29,000888.SZ,SELL,z 09:30:00,z 09:39:30,31800
15,2023/8/29,000908.SZ,SELL,z 09:30:00,z 09:39:30,142300
16,2023/8/29,000921.SZ,SELL,z 09:30:00,z 09:39:30,5700
17,2023/8/29,000959.SZ,SELL,z 09:30:00,z 09:39:30,13000
22,2023/8/29,001314.SZ,SELL,z 09:30:00,z 09:39:30,1400
23,2023/8/29,002007.SZ,SELL,z 09:30:00,z 09:39:30,41500
24,2023/8/29,002025.SZ,SELL,z 09:30:00,z 09:39:30,12000
26,2023/8/29,002062.SZ,SELL,z 09:30:00,z 09:39:30,106100
28,2023/8/29,002123.SZ,SELL,z 09:30:00,z 09:39:30,53400
30,2023/8/29,002142.SZ,SELL,z 09:30:00,z 09:39:30,14100
31,2023/8/29,002178.SZ,SELL,z 09:30:00,z 09:39:30,28600
32,2023/8/29,002179.SZ,SELL,z 09:30:00,z 09:39:30,34600
39,2023/8/29,002377.SZ,SELL,z 09:30:00,z 09:39:30,129600
43,2023/8/29,002458.SZ,SELL,z 09:30:00,z 09:39:30,23800
47,2023/8/29,002531.SZ,SELL,z 09:30:00,z 09:39:30,4600
49,2023/8/29,002635.SZ,SELL,z 09:30:00,z 09:39:30,33200
52,2023/8/29,002815.SZ,SELL,z 09:30:00,z 09:49:30,162900
55,2023/8/29,002918.SZ,SELL,z 09:30:00,z 09:39:30,13500
56,2023/8/29,002969.SZ,SELL,z 09:30:00,z 09:39:30,157300
58,2023/8/29,002996.SZ,SELL,z 09:30:00,z 09:39:30,900
60,2023/8/29,300041.SZ,SELL,z 09:30:00,z 09:39:30,68500
61,2023/8/29,300058.SZ,SELL,z 09:30:00,z 09:39:30,33200
63,2023/8/29,300129.SZ,SELL,z 09:30:00,z 09:39:30,40200
64,2023/8/29,300130.SZ,SELL,z 09:30:00,z 09:39:30,10400
65,2023/8/29,300144.SZ,SELL,z 09:30:00,z 09:39:30,61700
66,2023/8/29,300150.SZ,SELL,z 09:30:00,z 09:39:30,50100
67,2023/8/29,300206.SZ,SELL,z 09:30:00,z 09:39:30,68400
68,2023/8/29,300224.SZ,SELL,z 09:30:00,z 09:39:30,40000
69,2023/8/29,300263.SZ,SELL,z 09:30:00,z 09:39:30,28400
73,2023/8/29,300337.SZ,SELL,z 09:30:00,z 09:39:30,76200
75,2023/8/29,300365.SZ,SELL,z 09:30:00,z 09:39:30,192500
80,2023/8/29,300447.SZ,SELL,z 09:30:00,z 09:39:30,16600
83,2023/8/29,300560.SZ,SELL,z 09:30:00,z 09:39:30,7500
88,2023/8/29,300791.SZ,SELL,z 09:30:00,z 09:39:30,4000
89,2023/8/29,300844.SZ,SELL,z 09:30:00,z 09:39:30,4900
92,2023/8/29,300870.SZ,SELL,z 09:30:00,z 09:39:30,11000
93,2023/8/29,301029.SZ,SELL,z 09:30:00,z 09:49:30,36000
94,2023/8/29,301165.SZ,SELL,z 09:30:00,z 09:39:30,30876
95,2023/8/29,301281.SZ,SELL,z 09:30:00,z 09:39:30,2500
96,2023/8/29,301283.SZ,SELL,z 09:30:00,z 09:39:30,21500
97,2023/8/29,301316.SZ,SELL,z 09:30:00,z 09:39:30,200
98,2023/8/29,301322.SZ,SELL,z 09:30:00,z 09:39:30,1527
99,2023/8/29,301331.SZ,SELL,z 09:30:00,z 09:39:30,7300
100,2023/8/29,301337.SZ,SELL,z 09:30:00,z 09:39:30,900
101,2023/8/29,301345.SZ,SELL,z 09:30:00,z 09:39:30,11800
105,2023/8/29,301391.SZ,SELL,z 09:30:00,z 09:39:30,1800
106,2023/8/29,301408.SZ,SELL,z 09:30:00,z 09:39:30,22300
107,2023/8/29,301419.SZ,SELL,z 09:30:00,z 09:39:30,14800
111,2023/8/29,600211.SH,SELL,z 09:30:00,z 09:39:30,700
113,2023/8/29,600234.SH,SELL,z 09:30:00,z 10:19:30,116300
114,2023/8/29,600292.SH,SELL,z 09:30:00,z 09:39:30,135700
115,2023/8/29,600321.SH,SELL,z 09:30:00,z 09:39:30,196600
116,2023/8/29,600362.SH,SELL,z 09:30:00,z 09:39:30,152400
117,2023/8/29,600438.SH,SELL,z 09:30:00,z 09:39:30,72386
118,2023/8/29,600456.SH,SELL,z 09:30:00,z 09:39:30,8500
119,2023/8/29,600487.SH,SELL,z 09:30:00,z 09:39:30,60000
120,2023/8/29,600508.SH,SELL,z 09:30:00,z 09:39:30,18300
121,2023/8/29,600510.SH,SELL,z 09:30:00,z 09:49:30,214600
123,2023/8/29,600535.SH,SELL,z 09:30:00,z 09:39:30,4900
124,2023/8/29,600565.SH,SELL,z 09:30:00,z 09:39:30,398800
129,2023/8/29,600600.SH,SELL,z 09:30:00,z 09:39:30,3800
130,2023/8/29,600611.SH,SELL,z 09:30:00,z 09:59:30,548300
131,2023/8/29,600637.SH,SELL,z 09:30:00,z 09:39:30,11700
133,2023/8/29,600690.SH,SELL,z 09:30:00,z 09:39:30,15100
136,2023/8/29,600809.SH,SELL,z 09:30:00,z 09:39:30,5400
138,2023/8/29,600871.SH,SELL,z 09:30:00,z 09:39:30,1198000
139,2023/8/29,600886.SH,SELL,z 09:30:00,z 09:39:30,700
140,2023/8/29,600926.SH,SELL,z 09:30:00,z 09:39:30,4800
143,2023/8/29,600985.SH,SELL,z 09:30:00,z 09:39:30,14900
145,2023/8/29,600999.SH,SELL,z 09:30:00,z 09:39:30,2900
146,2023/8/29,601020.SH,SELL,z 09:30:00,z 09:39:30,217600
149,2023/8/29,601138.SH,SELL,z 09:30:00,z 09:39:30,50000
150,2023/8/29,601168.SH,SELL,z 09:30:00,z 09:39:30,15400
152,2023/8/29,601318.SH,SELL,z 09:30:00,z 09:39:30,2100
153,2023/8/29,601319.SH,SELL,z 09:30:00,z 09:39:30,14700
154,2023/8/29,601336.SH,SELL,z 09:30:00,z 09:39:30,700
