time,askprice_0,bidprice_0,cache_len,vwap,cache_size,ask_bid_spread,ab_volume_misbalance,transaction_net_volume,volatility
93003000,205500,205400,1, 205450.0,1,100.0,76320,0,0.0
93006000,205500,205400,2, 205363.07892079066,2,100.0,103040,138620,0.0
93009000,205400,205100,3, 205362.9215446444,3,166.66666666665697,126760,228920,94.28090415820634
93012000,205700,205600,4, 205381.17347997508,4,150.0,149880,385520,141.4213562373095
93015000,205700,205500,5, 205438.71083472855,5,160.0,180600,501720,140.0
93018000,205600,205500,6, 205452.83179222193,6,150.0,261180,588320,130.43729868748773
93021000,205700,205600,7, 205460.96589652012,7,142.8571428571595,349800,632780,132.86482312670196
93024000,205700,205500,8, 205473.6865459709,8,150.0,465620,676080,127.47548783981962
93027000,205700,205600,9, 205483.44819950731,9,144.44444444446708,577140,722580,126.44229640823382
93030000,205500,205400,10, 205477.13717693838,10,140.0,609660,824920,122.88205727444507
93033000,205400,205200,11, 205474.1040975564,11,145.45454545452958,624980,856120,134.5331689722613
93036000,205500,205200,12, 205439.01613101835,12,158.33333333334303,621200,974520,136.10402475884231
93039000,205700,205500,13, 205414.70115368988,13,161.53846153843915,590720,1132020,133.67805536140588
93042000,205800,205500,14, 205410.84779235435,14,171.42857142857974,500240,1276020,134.20210162897098
93045000,205700,205200,15, 205411.78150715597,15,193.33333333331393,456060,1295420,130.63945294843617
93048000,205700,205500,16, 205416.870357343,16,193.75,483596,1341904,128.3534548619553
93051000,205800,205700,17, 205422.9172549716,17,188.23529411765048,502632,1374004,136.1863165034144
93054000,206200,206100,18, 205447.02910132188,18,183.33333333334303,400648,1441584,194.2260678490371
93057000,206500,206400,19, 205458.18844881692,19,178.94736842103885,292564,1462084,273.6589057127509
93100000,206600,206500,20, 205479.59560594868,20,175.0,159780,1494384,336.2569701879799
93103000,207300,207200,20, 205719.68652210545,20,175.0,-13825,1595264,479.18550687599054
93106000,207200,207000,20, 205845.3015905534,20,180.0,-60530,1679164,556.6417160077027
93109000,206900,206500,20, 205948.0005734186,20,185.0,-65434,1618364,570.6301341499588
93112000,206500,206400,20, 205998.00780907934,20,185.0,-140738,1553064,579.4987057794003
